Player,Short Name,Team,Position Group,Competition,Speed,Acceleration,Agility,Endurance
Nicolás Paz Martínez,Nico Paz,Como 1907,Midfield,ITA - Serie A,75.0,73.0,62.0,16.1
Ibou Touray,I. Touray,Bradford City AFC,Central Defender,ENG - League One,32.3,66.9,70.3,82.1
Ibou Touray,I. Touray,Bradford City AFC,Full Back,ENG - League One,39.2,74.5,70.3,47.5
Andri Lucas Gudjohnsen,A. Gudjohnsen,Blackburn Rovers,Center Forward,ENG - Championship,26.0,35.7,24.9,67.0
Ji-Sung  Eom,Eom Ji-Sung,Swansea City,Wide Attacker,ENG - Championship,28.7,43.8,93.2,75.9
Phoenix Patterson,P. Patterson,Stevenage FC,Wide Attacker,ENG - League One,57.1,39.4,42.4,40.2
Lewis  Cass,L. Cass,Harrogate Town FC,Full Back,ENG - League Two,49.0,53.8,16.7,62.2
Dean Huijsen,Dean Huijsen,Real Madrid CF,Central Defender,ESP - LaLiga,94.2,72.8,72.9,72.6
Xavier Simons,X. Simons,Bolton Wanderers,Midfield,ENG - League One,75.3,89.8,9.8,26.7
Rafik Belghali,R. Belghali,Hellas Verona,Full Back,ITA - Serie A,43.5,38.7,73.8,81.5
Charlie Hughes,C. Hughes,Hull City,Central Defender,ENG - Championship,52.8,66.9,82.3,25.3
Andrej Ilić,A. Ilić,FC Union Berlin,Center Forward,GER - Bundesliga,55.1,34.7,39.1,33.2
Géza David Turi,G. Turi,Grimsby Town FC,Midfield,ENG - League Two,15.8,14.7,11.0,19.3
Cameron McJannet,C. McJannet,Grimsby Town FC,Central Defender,ENG - League Two,55.8,27.9,41.3,74.5
Eoin Toal,E. Toal,Bolton Wanderers,Central Defender,ENG - League One,67.3,58.5,39.1,74.1
Ryan Graydon,R. Graydon,Fleetwood Town FC,Center Forward,ENG - League Two,96.6,78.3,48.2,15.4
Lee Bonis,L. Bonis,Chesterfield FC,Center Forward,ENG - League Two,90.6,94.2,52.1,28.6
Daniel Elfadli,Daniel Elfadli,Hamburger SV,Central Defender,GER - Bundesliga,35.4,46.9,78.1,96.0
Leonardo Weschenfelder-Scienza,Léo Scienza,Southampton,Midfield,ENG - Championship,96.2,95.4,65.3,21.5
Killian Phillips,K. Phillips,St. Mirren,Midfield,SCO - Premiership,70.4,79.1,53.6,42.3
Jake O'Brien,J. O'Brien,Everton,Full Back,ENG - Premier League,77.0,70.5,40.3,16.9
Malachi Boateng,M. Boateng,Plymouth Argyle,Midfield,ENG - League One,91.1,63.3,16.7,20.1
Malachi Boateng,M. Boateng,Plymouth Argyle,Midfield,ENG - League One,71.1,49.6,6.6,14.8
Oscar Schwartau,O. Schwartau,Norwich City,Wide Attacker,ENG - Championship,48.7,51.0,81.1,90.6
Bobby Kamwa,B. Kamwa,Newport County AFC,Wide Attacker,ENG - League Two,59.1,36.3,8.5,20.0
Luca Kjerrumgaard,L. Kjerrumgaard,Watford,Center Forward,ENG - Championship,40.0,19.3,52.6,43.8
Igor Thiago Nascimento Rodrigues,Igor Thiago,Brentford FC,Center Forward,ENG - Premier League,95.4,68.1,76.9,41.9
José Ángel Córdoba Chambers,J. Córdoba,Norwich City,Central Defender,ENG - Championship,86.6,82.4,81.6,64.9
David Watson,D. Watson,Kilmarnock,Midfield,SCO - Premiership,59.5,41.2,46.2,47.6
Jack Sanders,J. Sanders,Milton Keynes Dons,Central Defender,ENG - League Two,99.2,27.5,29.7,53.9
Jack Sanders,J. Sanders,Milton Keynes Dons,Central Defender,ENG - League Two,64.6,56.3,60.8,76.5
Adam James Wharton,A. Wharton,Crystal Palace,Midfield,ENG - Premier League,28.3,48.7,36.7,24.9
Sinclair Armstrong,S. Armstrong,Bristol City,Center Forward,ENG - Championship,98.8,90.9,18.5,33.2
Ollie Tanner,O. Tanner,Cardiff City,Wide Attacker,ENG - League One,72.6,51.0,58.6,21.1
Miles Leaburn,M. Leaburn,Charlton Athletic,Center Forward,ENG - Championship,67.2,37.8,49.2,10.3
Darragh Burns,D. Burns,Grimsby Town FC,Wide Attacker,ENG - League Two,24.2,39.5,32.8,53.2
Matthew Dennis,M. Dennis,Notts County FC,Center Forward,ENG - League Two,89.8,76.0,41.3,43.5
Hector Kyprianou,H. Kyprianou,Watford,Midfield,ENG - Championship,14.0,32.4,41.2,47.8
Farrend Rawson,F. Rawson,Accrington Stanley,Central Defender,ENG - League Two,50.6,39.7,5.7,2.1
Mohamed Amine Sbaï,A. Sbaï,Angers SCO,Wide Attacker,FRA - Ligue 1,13.5,42.4,65.0,87.4
Keanu Baccus,K. Baccus,St. Mirren,Midfield,SCO - Premiership,7.3,34.0,59.8,66.4
Danilo Filipe De Melo Veiga,Danilo Veiga,Lecce,Full Back,ITA - Serie A,31.2,31.0,67.6,26.8
Nicky Cadden,N. Cadden,Hibernian,Full Back,SCO - Premiership,23.7,25.5,4.5,54.5
Paudie O'Connor,P. O'Connor,Reading,Central Defender,ENG - League One,2.6,27.7,20.2,51.1
Kévin Keben Biakolo,K. Keben,Watford,Central Defender,ENG - Championship,66.6,53.1,59.9,41.7
Quilindschy Hartman,Q. Hartman,Burnley,Full Back,ENG - Premier League,43.7,38.0,29.6,17.0
Lewis Miller,L. Miller,Blackburn Rovers,Central Defender,ENG - Championship,86.7,62.3,70.0,66.1
Archie Collins,A. Collins,Peterborough United,Midfield,ENG - League One,9.9,36.1,3.8,46.1
Archie Collins,A. Collins,Peterborough United,Midfield,ENG - League One,35.3,69.9,22.1,19.9
Alex Hartridge,A. Hartridge,Burton Albion,Central Defender,ENG - League One,47.0,86.2,62.8,76.4
Josh Key,J. Key,Swansea City,Full Back,ENG - Championship,48.5,42.4,68.4,86.4
Jack Sparkes,J. Sparkes,Bristol Rovers FC,Full Back,ENG - League Two,25.3,33.5,21.4,7.6
Jack Sparkes,J. Sparkes,Bristol Rovers FC,Full Back,ENG - League Two,11.6,35.2,20.1,21.4
Pierce Sweeney,P. Sweeney,Exeter City FC,Central Defender,ENG - League One,18.8,15.3,10.4,46.7
Jake Caprice,J. Caprice,Oldham Athletic AFC,Full Back,ENG - League Two,80.4,55.0,7.6,23.0
Bert Esselink,B. Esselink,Dundee United,Central Defender,SCO - Premiership,29.4,37.8,26.9,11.0
Robin Fellhauer,R. Fellhauer,FC Augsburg,Full Back,GER - Bundesliga,62.7,28.7,58.7,91.1
Jorge Herrando Oroz,Jorge Herrando,CA Osasuna,Central Defender,ESP - LaLiga,45.7,68.0,63.1,37.5
Pablo  Ibáñez Lumbreras,Pablo Ibáñez,Deportivo Alavés,Midfield,ESP - LaLiga,45.1,33.7,60.3,90.2
Sam Finley,S. Finley,Tranmere Rovers FC,Midfield,ENG - League Two,72.4,35.7,12.9,2.0
James Connolly,J. Connolly,Crewe Alexandra FC,Central Defender,ENG - League Two,24.2,47.5,37.2,45.3
Luca Hoole,L. Hoole,Shrewsbury Town,Central Defender,ENG - League Two,90.7,56.3,78.1,59.8
Alfie Kilgour,A. Kilgour,Bristol Rovers FC,Central Defender,ENG - League Two,41.6,32.5,48.0,38.9
Ryan Loft,R. Loft,Crawley Town FC,Center Forward,ENG - League Two,92.0,79.5,12.2,39.0
James Abankwah,J. Abankwah,Watford,Central Defender,ENG - Championship,96.2,82.7,45.7,33.6
Tom Conlon,T. Conlon,Oldham Athletic AFC,Midfield,ENG - League Two,24.0,34.4,20.2,24.4
Connor Hall,C. Hall,Port Vale FC,Central Defender,ENG - League One,17.5,43.0,30.9,73.9
Nathan Smith,N. Smith,Tranmere Rovers FC,Central Defender,ENG - League Two,27.9,33.6,17.5,10.2
Thomas George Pett,T. Pett,Oldham Athletic AFC,Wide Attacker,ENG - League Two,5.8,12.2,23.3,71.0
Radinio Balker,R. Balker,Huddersfield Town,Central Defender,ENG - League One,36.2,55.7,26.5,41.0
Jacob Slater,J. Slater,Harrogate Town FC,Full Back,ENG - League Two,49.4,47.8,61.6,90.7
Edouard Blaise Etta Eyong Karl,E. Eyong,Levante UD,Center Forward,ESP - LaLiga,78.4,88.4,72.9,36.7
Finn Azaz,F. Azaz,Southampton,Midfield,ENG - Championship,75.7,79.3,68.8,57.2
Matteo Prati,M. Prati,Cagliari,Midfield,ITA - Serie A,15.5,49.0,57.5,71.8
Charles Vernam,C. Vernam,Grimsby Town FC,Wide Attacker,ENG - League Two,56.1,61.9,32.2,34.2
Baily Cargill,B. Cargill,Mansfield Town FC,Central Defender,ENG - League One,33.0,30.9,35.2,50.1
Ben Stevenson,B. Stevenson,Cheltenham Town,Midfield,ENG - League Two,5.8,49.5,16.2,3.8
Josh March,J. March,Crewe Alexandra FC,Center Forward,ENG - League Two,49.7,38.2,60.4,81.0
Udoka Godwin-Malife,U. Godwin-Malife,Burton Albion,Central Defender,ENG - League One,87.8,85.3,43.9,56.0
Carlos Romero Serrano,Carlos Romero,RCD Espanyol,Full Back,ESP - LaLiga,59.5,58.7,62.2,26.3
Doug Tharme,D. Tharme,Grimsby Town FC,Central Defender,ENG - League Two,33.7,33.1,12.4,22.4
Marc Aguado Pallarés,Marc Aguado,Elche CF,Midfield,ESP - LaLiga,53.4,29.7,45.2,32.3
Abel Bretones Cruz,Abel Bretones,CA Osasuna,Full Back,ESP - LaLiga,62.1,87.7,43.6,41.1
Divin Mubama,D. Mubama,Stoke City,Center Forward,ENG - Championship,39.7,79.2,64.8,35.5
Nick Tsaroulla,N. Tsaroulla,Notts County FC,Full Back,ENG - League Two,7.7,51.0,21.7,43.7
Tom Nichols,T. Nichols,Swindon Town,Midfield,ENG - League Two,24.6,37.6,48.6,60.9
Ollie O'Neill,O. O'Neill,Leyton Orient FC,Wide Attacker,ENG - League One,33.9,37.3,17.5,63.8
Ephron Mason-Clark,E. Mason-Clark,Coventry City Football Club,Wide Attacker,ENG - Championship,23.4,30.0,30.1,21.3
Henrik Wendel Meister,H. Meister,Pisa Sporting Club,Center Forward,ITA - Serie A,67.6,75.9,64.8,29.0
Yankuba Minteh,Y. Minteh,Brighton and Hove Albion,Wide Attacker,ENG - Premier League,98.3,75.6,58.4,31.8
Matty Jacob,M. Jacob,Reading,Full Back,ENG - League One,12.2,2.8,43.6,58.1
Samson Baidoo,S. Baidoo,RC Lens,Central Defender,FRA - Ligue 1,90.1,46.6,58.4,64.8
Aljoscha Kemlein,A. Kemlein,FC Union Berlin,Midfield,GER - Bundesliga,34.5,22.7,68.5,96.2
Fabrizio Cavegn,F. Cavegn,Bristol Rovers FC,Center Forward,ENG - League Two,87.5,92.4,85.0,41.8
Andre Chance Brooks,A. Brooks,Sheffield United,Wide Attacker,ENG - Championship,84.6,48.4,41.4,23.1
Yuito Suzuki,Y. Suzuki,SC Freiburg,Midfield,GER - Bundesliga,95.5,74.9,74.8,68.2
Joaquín Panichelli,J. Panichelli,RC Strasbourg Alsace,Center Forward,FRA - Ligue 1,17.5,31.7,85.3,95.6
Abdel Rahim Alhassane Bonkano,R. Alhassane,Real Oviedo,Full Back,ESP - LaLiga,70.8,92.0,86.7,61.7
Omar Bugiel,Omar Bugiel,AFC Wimbledon,Center Forward,ENG - League One,8.8,28.9,24.4,59.3
Adam Mayor,A. Mayor,Cambridge United,Wide Attacker,ENG - League Two,90.8,77.0,38.3,22.8
Álvaro Daniel Rodríguez Muñoz,Álvaro Rodríguez,Elche CF,Center Forward,ESP - LaLiga,62.0,41.4,56.7,44.5
Tristan Crama,T. Crama,Millwall FC,Full Back,ENG - Championship,75.8,73.4,48.2,24.3
Tristan Crama,T. Crama,Millwall FC,Central Defender,ENG - Championship,76.3,65.2,66.6,35.3
Brad Hills,B. Hills,Stockport County FC,Central Defender,ENG - League One,91.3,39.3,30.8,26.5
Connor Allan,C. Allan,Falkirk,Central Defender,SCO - Premiership,38.9,61.8,84.6,90.9
Joe Low,J. Low,Huddersfield Town,Central Defender,ENG - League One,22.8,59.2,15.0,49.8
Joe Low,J. Low,Huddersfield Town,Central Defender,ENG - League One,82.7,64.1,27.3,42.1
Mateo Joseph Fernández Regatillo,Mateo Joseph,RCD Mallorca,Center Forward,ESP - LaLiga,41.6,54.8,66.2,87.3
Nathan Asiimwe,N. Asiimwe,AFC Wimbledon,Full Back,ENG - League One,28.3,36.6,24.5,28.5
Aribusitamunoipirim Emmanuel Pepple,A. Pepple,Plymouth Argyle,Center Forward,ENG - League One,42.0,67.6,44.7,34.6
Jack Currie,J. Currie,Oxford United,Full Back,ENG - Championship,27.1,41.9,70.9,44.5
Evan Khouri,E. Khouri,Grimsby Town FC,Midfield,ENG - League Two,67.9,39.5,36.8,21.0
Harry Clifton,H. Clifton,Doncaster Rovers FC,Midfield,ENG - League One,64.1,60.3,70.0,92.7
Kieran Green,K. Green,Grimsby Town FC,Midfield,ENG - League Two,85.0,72.1,26.7,41.1
Ben Whitfield,B. Whitfield,Barrow AFC,Full Back,ENG - League Two,65.1,49.9,20.4,87.3
Tyrell Warren,T. Warren,Grimsby Town FC,Central Defender,ENG - League Two,31.8,43.8,31.9,22.1
Josh Gordon,J. Gordon,Barrow AFC,Center Forward,ENG - League Two,89.6,80.5,42.2,17.8
Harrison Neal,H. Neal,Fleetwood Town FC,Midfield,ENG - League Two,5.5,29.6,22.6,33.1
Niall Canavan,N. Canavan,Barrow AFC,Central Defender,ENG - League Two,28.4,41.0,13.3,1.1
Patrick Brough,P. Brough,Tranmere Rovers FC,Central Defender,ENG - League Two,95.9,31.6,34.1,67.2
Kieron Bowie,K. Bowie,Hibernian,Center Forward,SCO - Premiership,38.9,57.8,28.1,59.8
Jon Mellish,J. Mellish,Milton Keynes Dons,Full Back,ENG - League Two,89.8,56.1,80.6,93.3
Josh Neufville,J. Neufville,Bradford City AFC,Full Back,ENG - League One,97.5,98.8,61.2,78.7
Alistair Smith,A. Smith,AFC Wimbledon,Midfield,ENG - League One,31.7,31.1,52.7,66.2
Samson Tovide,S. Tovide,Colchester United FC,Center Forward,ENG - League Two,86.8,92.4,26.9,19.3
Luke  Hannant,L. Hannant,Oldham Athletic AFC,Wide Attacker,ENG - League Two,64.0,41.1,32.2,81.9
Junior Tchamadeu,J. Tchamadeu,Stoke City,Full Back,ENG - Championship,95.7,67.0,25.4,8.0
Luke Molyneux,L. Molyneux,Doncaster Rovers FC,Wide Attacker,ENG - League One,55.5,66.9,30.5,27.2
James Maxwell,J. Maxwell,Doncaster Rovers FC,Full Back,ENG - League One,8.0,28.8,46.7,15.9
Ellis Iandolo,E. Iandolo,Colchester United FC,Full Back,ENG - League Two,18.4,56.5,30.2,23.4
Louis Reed,L. Reed,Mansfield Town FC,Midfield,ENG - League One,1.1,29.5,9.0,24.6
Remeao Hutton,R. Hutton,Gillingham FC,Full Back,ENG - League Two,65.7,60.2,16.7,20.0
Remeao Hutton,R. Hutton,Gillingham FC,Full Back,ENG - League Two,55.4,14.7,17.4,55.3
Rod McDonald,R. McDonald,Notts County FC,Central Defender,ENG - League Two,3.5,24.3,4.0,5.5
Cameron Norman,C. Norman,Tranmere Rovers FC,Full Back,ENG - League Two,3.1,40.4,19.1,56.5
Mickey Demetriou  ,M. Demetriou,Crewe Alexandra FC,Central Defender,ENG - League Two,8.6,56.0,56.0,74.1
Emmanuel Gaetan Nguemkam Monthe,E. Monthe,Oldham Athletic AFC,Central Defender,ENG - League Two,97.2,89.0,23.4,9.8
Oisin McEntee,O. McEntee,Heart of Midlothian,Full Back,SCO - Premiership,34.6,32.7,26.8,29.6
Taylor Allen,T. Allen,Wycombe Wanderers,Central Defender,ENG - League One,44.1,47.7,64.3,93.8
Will Wright,W. Wright,Swindon Town,Central Defender,ENG - League Two,41.9,49.6,26.0,84.1
Carl Piergianni,C. Piergianni,Stevenage FC,Central Defender,ENG - League One,32.1,41.1,11.7,10.4
Luther Ash James-Wildin,L. James-Wildin,Stevenage FC,Full Back,ENG - League One,50.9,57.3,25.2,22.5
Arthur Read,A. Read,Colchester United FC,Midfield,ENG - League Two,32.0,56.6,38.8,9.4
Jamie Reid,J. Reid,Stevenage FC,Center Forward,ENG - League One,52.7,82.9,49.5,6.5
Jack Muldoon,J. Muldoon,Harrogate Town FC,Center Forward,ENG - League Two,13.9,29.6,21.3,71.5
Rhys Oates,R. Oates,Mansfield Town FC,Center Forward,ENG - League One,90.5,77.3,32.7,33.1
Myles Hippolyte,M. Hippolyte,AFC Wimbledon,Midfield,ENG - League One,53.6,36.2,46.3,34.3
Ryan Croasdale,R. Croasdale,Port Vale FC,Midfield,ENG - League One,33.2,22.0,74.7,82.8
Ryan Johnson,R. Johnson,AFC Wimbledon,Central Defender,ENG - League One,22.5,27.6,43.4,40.3
Dan Happe,D. Happe,Leyton Orient FC,Central Defender,ENG - League One,43.0,48.9,21.8,21.2
Jayden Sweeney,J. Sweeney,Grimsby Town FC,Full Back,ENG - League Two,22.3,51.3,75.5,64.2
Aaron Drinan,A. Drinan,Swindon Town,Center Forward,ENG - League Two,95.6,92.3,28.7,31.3
Sam Hoskins,S. Hoskins,Northampton Town FC,Full Back,ENG - League One,38.5,24.5,31.1,50.9
Max Dyche,M. Dyche,Northampton Town FC,Central Defender,ENG - League One,39.7,29.4,30.4,72.1
Elliott  Nevitt,E. Nevitt,Gillingham FC,Center Forward,ENG - League Two,51.1,27.0,41.3,68.1
Marcus Dackers,M. Dackers,Kilmarnock,Center Forward,SCO - Premiership,29.1,20.6,13.6,43.1
Isaac Ogundere,I. Ogundere,AFC Wimbledon,Central Defender,ENG - League One,67.9,78.6,92.6,97.0
Tyrese Shade,T. Shade,Burton Albion,Center Forward,ENG - League One,90.0,91.6,66.4,62.2
Mohammed Bosun Lawal,B. Lawal,Stoke City,Central Defender,ENG - Championship,69.5,40.8,11.5,39.2
Mathew Stevens,M. Stevens,AFC Wimbledon,Center Forward,ENG - League One,5.7,14.4,26.4,73.3
Jimmy-Jay Morgan,J. Morgan,Peterborough United,Midfield,ENG - League One,84.9,59.4,65.9,29.5
Arthur Atta,A. Atta,Udinese,Midfield,ITA - Serie A,82.5,66.0,74.9,83.2
Nobel Mendy,N. Mendy,Rayo Vallecano,Central Defender,ESP - LaLiga,67.3,85.1,75.0,39.5
Michael Olabode Kayode,M. Kayode,Brentford FC,Full Back,ENG - Premier League,81.0,57.8,73.1,47.4
Mario Martín Rielves,Mario Martín,Getafe CF,Midfield,ESP - LaLiga,81.6,46.0,72.7,53.8
Zak Sturge,Z. Sturge,Millwall FC,Full Back,ENG - Championship,90.3,66.0,80.8,46.5
Davide Bartesaghi,D. Bartesaghi,Milan,Full Back,ITA - Serie A,66.0,51.9,69.8,78.8
Michael  Mellon,M. Mellon,Oldham Athletic AFC,Center Forward,ENG - League Two,85.6,68.5,22.3,5.0
Carlos Vicente Robles,Carlos Vicente,Deportivo Alavés,Wide Attacker,ESP - LaLiga,70.4,64.3,81.7,58.7
Javier Rodríguez Galiano,Javi Rodríguez,RC Celta de Vigo,Central Defender,ESP - LaLiga,41.4,57.4,69.4,78.9
Jon Gorrotxategi Etxaniz,Jon Gorrotxategi,Real Sociedad,Midfield,ESP - LaLiga,53.9,49.6,84.8,59.1
Javier Rueda Garcia,Javi Rueda,RC Celta de Vigo,Full Back,ESP - LaLiga,96.8,97.0,73.6,58.3
Hugo Rincón Lumbreras,Hugo Rincón,Girona FC,Full Back,ESP - LaLiga,31.3,22.3,35.1,66.3
Ilyas  Ansah,I. Ansah,FC Union Berlin,Center Forward,GER - Bundesliga,16.4,30.8,61.9,85.5
Kabongo Tshimanga,K. Tshimanga,Crawley Town FC,Center Forward,ENG - League Two,55.2,46.5,51.7,33.2
Álvaro Santiago Mouriño González,S. Mouriño,Villarreal CF,Full Back,ESP - LaLiga,7.5,43.1,78.5,12.5
Joon-Ho Bae,Bae Jun-Ho,Stoke City,Midfield,ENG - Championship,52.1,84.5,93.6,81.2
Connor O'Brien,C. O'Brien,Accrington Stanley,Full Back,ENG - League Two,60.2,41.0,44.3,66.8
Mihailo Ivanović,M. Ivanović,Millwall FC,Center Forward,ENG - Championship,50.2,32.7,24.4,19.8
Gift Emmanuel Orban,G. Orban,Hellas Verona,Center Forward,ITA - Serie A,66.3,81.4,45.5,18.6
Matias Fernandez-Pardo,M. Fernandez-Pardo,LOSC Lille,Wide Attacker,FRA - Ligue 1,95.9,83.7,48.4,55.2
Luka Vušković,L. Vušković,Hamburger SV,Central Defender,GER - Bundesliga,20.8,36.4,49.6,56.1
Patrick Agyemang,P. Agyemang,Derby County FC,Center Forward,ENG - Championship,89.8,71.6,25.3,15.9
Thierno Barry,T. Barry,Everton,Center Forward,ENG - Premier League,86.8,49.6,82.7,78.5
Toby Mullarkey,T. Mullarkey,Fleetwood Town FC,Central Defender,ENG - League Two,31.8,62.5,20.0,65.3
Connor Jennings,C. Jennings,Tranmere Rovers FC,Center Forward,ENG - League Two,11.9,34.4,62.2,75.4
Mark Shelton,M. Shelton,Barnet FC,Midfield,ENG - League Two,26.1,45.5,56.4,74.1
Owen Lunt,O. Lunt,Crewe Alexandra FC,Midfield,ENG - League Two,72.7,48.4,77.0,72.2
Owen Lunt,O. Lunt,Crewe Alexandra FC,Midfield,ENG - League Two,54.4,49.4,45.6,45.6
Josh Andrews,J. Andrews,Gillingham FC,Center Forward,ENG - League Two,52.6,45.7,30.7,27.4
Nathaniel Opoku,N. Opoku,Newport County AFC,Center Forward,ENG - League Two,95.0,58.8,66.5,54.8
Sean Fusire,S. Fusire,Sheffield Wednesday,Full Back,ENG - Championship,15.0,18.1,59.1,88.6
Kaishu Sano,K. Sano,1. FSV Mainz 05,Midfield,GER - Bundesliga,86.9,57.4,72.4,66.2
Kaishu Sano,K. Sano,1. FSV Mainz 05,Midfield,GER - Bundesliga,87.9,67.8,60.9,52.6
Sebastian Revan,S. Revan,Burton Albion,Full Back,ENG - League One,42.2,37.3,47.0,61.0
Murillo Santiago Costa dos Santos,Murillo,Nottingham Forest,Central Defender,ENG - Premier League,94.5,99.0,82.7,16.6
Harry Leonard,H. Leonard,Peterborough United,Center Forward,ENG - League One,32.1,54.7,41.9,27.7
El Hadji Malick Diouf,E. Diouf,West Ham United,Full Back,ENG - Premier League,70.9,46.8,46.7,39.2
Elliot Newby,E. Newby,Barrow AFC,Full Back,ENG - League Two,34.4,25.0,35.0,75.9
Kojo Peprah  Oppong,K. Peprah Oppong,OGC Nice,Central Defender,FRA - Ligue 1,66.2,44.6,53.5,65.5
Lamine Yamal Nasroui Ebana,Lamine Yamal,FC Barcelona,Wide Attacker,ESP - LaLiga,28.0,16.3,57.1,2.5
Patrick Chinazaekpere Dorgu,P. Dorgu,Manchester United,Full Back,ENG - Premier League,59.4,44.8,46.3,65.5
Joseph Nathan Johnson,Joe Johnson,Luton Town,Full Back,ENG - League One,8.0,11.0,10.1,21.9
Marco Palestra,M. Palestra,Cagliari,Full Back,ITA - Serie A,94.4,72.0,44.8,54.1
Pietro Comuzzo,P. Comuzzo,Fiorentina,Central Defender,ITA - Serie A,20.4,53.6,76.1,85.2
Simon Ebonog,S. Ebonog,Le Havre AC,Midfield,FRA - Ligue 1,22.5,63.1,65.7,65.0
Jérémy Jacquet,J. Jacquet,Stade Rennais FC,Central Defender,FRA - Ligue 1,88.5,64.6,78.1,75.1
Leon Avdullahu,L. Avdullahu,TSG 1899 Hoffenheim,Midfield,GER - Bundesliga,55.5,47.6,53.8,82.9
Ethan Pye,E. Pye,Stockport County FC,Central Defender,ENG - League One,70.3,64.0,52.9,74.1
Finn Jeltsch,F. Jeltsch,VfB Stuttgart,Central Defender,GER - Bundesliga,83.9,67.5,91.4,93.4
Dylan Lawlor,D. Lawlor,Cardiff City,Central Defender,ENG - League One,41.2,64.3,46.6,66.5
Dom Ballard,D. Ballard,Leyton Orient FC,Center Forward,ENG - League One,38.3,77.1,87.0,86.9
Kamari Doyle,K. Doyle,Reading,Midfield,ENG - League One,38.8,36.1,80.0,92.2
Jayden Meghoma,J. Meghoma,Rangers,Full Back,SCO - Premiership,68.3,55.4,20.7,27.0
Jon Martín Vicente,Jon Martín,Real Sociedad,Central Defender,ESP - LaLiga,7.6,65.5,47.0,59.1
Pau Cubarsí Paredes,Pau Cubarsí,FC Barcelona,Central Defender,ESP - LaLiga,82.7,61.3,67.0,80.5
Devan Austin Tanton Pedroza,D. Tanton,Chesterfield FC,Full Back,ENG - League Two,30.6,53.8,14.3,58.9
Matías Agustín Moreno,M. Moreno,Levante UD,Central Defender,ESP - LaLiga,41.7,39.5,64.9,24.4
Lee Jenkins,L. Jenkins,Newport County AFC,Central Defender,ENG - League Two,90.3,70.9,43.9,66.8
Jay McGrath,J. McGrath,Doncaster Rovers FC,Central Defender,ENG - League One,14.1,63.4,41.7,15.8
Nicolai Remberg,N. Remberg,Hamburger SV,Midfield,GER - Bundesliga,20.4,38.7,13.4,19.0
Kellen Fisher,K. Fisher,Norwich City,Full Back,ENG - Championship,56.9,42.8,77.3,55.8
Clément Akpa,C. Akpa,AJ Auxerre,Central Defender,FRA - Ligue 1,93.6,81.7,84.6,30.2
Sidiki Chérif,S. Chérif,Angers SCO,Center Forward,FRA - Ligue 1,85.8,52.6,89.8,96.8
Adama Camara,A. Camara,Paris FC,Midfield,FRA - Ligue 1,37.8,20.1,88.2,90.7
Tom Davies,T. Davies,Newport County AFC,Full Back,ENG - League Two,2.8,30.8,48.3,74.9
Louis Oppie,L. Oppie,FC St. Pauli,Full Back,GER - Bundesliga,10.9,20.1,64.9,96.1
Sondre  Klingen Langås,S. Langås,Derby County FC,Central Defender,ENG - Championship,74.4,60.9,46.2,32.2
Caylan Vickers,C. Vickers,Barnsley FC,Wide Attacker,ENG - League One,7.6,8.2,42.9,46.2
Vincent  Harper,V. Harper,Walsall FC,Full Back,ENG - League Two,77.6,90.7,66.9,40.4
Lewis Shipley,L. Shipley,Barrow AFC,Central Defender,ENG - League Two,64.1,24.5,44.1,48.9
Sebastian Palmer-Houlden,S. Palmer-Houlden,Gillingham FC,Center Forward,ENG - League Two,96.9,30.9,60.9,46.6
Jay Williams,J. Williams,Crawley Town FC,Midfield,ENG - League Two,18.8,33.5,13.7,25.4
Jack Senior,J. Senior,Doncaster Rovers FC,Full Back,ENG - League One,54.1,36.2,30.4,20.0
Owen Bailey,O. Bailey,Doncaster Rovers FC,Midfield,ENG - League One,58.0,58.8,53.7,31.3
Omar Sowunmi,O. Sowunmi,Bromley FC,Central Defender,ENG - League Two,83.4,76.8,26.2,39.6
Aaron Nemane,A. Nemane,Milton Keynes Dons,Full Back,ENG - League Two,43.7,70.9,24.6,33.7
Kian Spence,K. Spence,Rotherham United,Midfield,ENG - League One,51.8,50.3,79.5,81.5
Luke Graham,L. Graham,Dundee FC,Central Defender,SCO - Premiership,36.5,28.9,31.3,83.2
Luke Graham,L. Graham,Dundee FC,Central Defender,SCO - Premiership,15.9,17.9,46.8,78.5
Jake Bickerstaff,J. Bickerstaff,Cheltenham Town,Center Forward,ENG - League Two,45.0,82.5,73.6,79.2
Max Cleworth,М. Cleworth,Wrexham FC,Central Defender,ENG - Championship,27.7,34.6,40.0,66.1
Luke Young,L. Young,Cheltenham Town,Midfield,ENG - League Two,48.9,79.0,25.4,37.8
Benn David Ward,B. Ward,Accrington Stanley,Central Defender,ENG - League Two,67.1,97.2,87.2,95.8
Tom Nixon,T. Nixon,Doncaster Rovers FC,Full Back,ENG - League One,24.9,34.5,34.2,48.1
Jack  Shepherd,J. Shepherd,Barnsley FC,Central Defender,ENG - League One,40.6,45.3,42.1,77.5
Jack  Shepherd,J. Shepherd,Barnsley FC,Central Defender,ENG - League One,36.2,57.9,5.3,42.0
Kyran Lofthouse,K. Lofthouse,Burton Albion,Full Back,ENG - League One,38.4,55.0,41.9,30.7
Bobby Pointon,B. Pointon,Bradford City AFC,Midfield,ENG - League One,34.8,50.1,66.4,78.7
Harry Forster,H. Forster,Crawley Town FC,Full Back,ENG - League Two,37.2,27.4,42.8,93.7
